MCS,Throughput_Mbps,Packet_Loss_Percent,Theoretical_Max_Mbps,Efficiency_Percent
1,248.53,84.16,385.0,64.55324675324675
2,491.4,68.69,770.0,63.81818181818182
3,610.9,61.07,962.5,63.47012987012987
4,728.73,53.56,1155.0,63.09350649350649
5,787.08,49.84,1251.25,62.903496503496505
6,960.6,69.4,1540.0,62.37662337662337
7,1187.38,62.17,1925.0,61.68207792207793
8,1408.82,55.12,2310.0,60.98787878787878
9,1517.95,51.64,2502.5,60.65734265734266
10,1839.08,70.7,3080.0,59.710389610389605
11,2249.34,64.16,3850.0,58.42441558441559
12,2643.31,57.88,4620.0,57.214502164502164
13,444.05,68.56,693.0,64.07647907647907
14,552.33,60.9,866.0,63.77944572748269
15,870.3,69.19,1386.0,62.79220779220779
16,1076.82,61.88,1732.5,62.15411255411255
17,1279.1,54.72,2079.0,61.524771524771516
18,1672.72,70.39,2772.0,60.343434343434346
19,2050.82,63.7,3465.0,59.186724386724386
20,2414.42,57.26,4158.0,58.06685906685907
21,2591.71,54.13,4504.5,57.53601953601953
22,2935.97,65.36,5197.5,56.488119288119286
23,3429.27,59.53,6237.0,54.98268398268398
24,3664.97,56.75,6756.0,54.247631734754286
