Sectors,Beamwidth_deg,Distance_m,MCS,Throughput_Mbps
8,45.00,1.00,5,1180.11
8,45.00,1.00,9,2276.08
8,45.00,1.00,12,3964.26
8,45.00,1.00,15,1304.95
8,45.00,1.00,18,2509.66
8,45.00,1.00,21,3886.14
8,45.00,1.00,24,5499.63
8,45.00,2.00,5,1181.05
8,45.00,2.00,9,2275.33
8,45.00,2.00,12,3963.73
8,45.00,2.00,15,1304.98
8,45.00,2.00,18,2508.86
8,45.00,2.00,21,3887.79
8,45.00,2.00,24,5496.77
8,45.00,4.00,5,1180.75
8,45.00,4.00,9,2277.42
8,45.00,4.00,12,3962.86
8,45.00,4.00,15,1305.36
8,45.00,4.00,18,2508.49
8,45.00,4.00,21,3887.57
8,45.00,4.00,24,5490.20
8,45.00,7.00,5,1180.49
8,45.00,7.00,9,2276.81
8,45.00,7.00,12,3964.29
8,45.00,7.00,15,1305.38
8,45.00,7.00,18,2510.19
8,45.00,7.00,21,3887.82
8,45.00,7.00,24,0.00
8,45.00,10.00,5,1180.21
8,45.00,10.00,9,2277.74
8,45.00,10.00,12,3964.24
8,45.00,10.00,15,1306.10
8,45.00,10.00,18,2507.68
8,45.00,10.00,21,2104.56
8,45.00,10.00,24,0.00
16,22.50,1.00,5,0.00
16,22.50,1.00,9,0.00
16,22.50,1.00,12,0.00
16,22.50,1.00,15,32.25
16,22.50,1.00,18,0.00
16,22.50,1.00,21,0.00
16,22.50,1.00,24,0.00
16,22.50,2.00,5,0.00
16,22.50,2.00,9,0.00
16,22.50,2.00,12,0.00
16,22.50,2.00,15,0.00
16,22.50,2.00,18,0.00
16,22.50,2.00,21,0.00
16,22.50,2.00,24,0.00
16,22.50,4.00,5,0.00
16,22.50,4.00,9,0.00
16,22.50,4.00,12,0.00
16,22.50,4.00,15,0.00
16,22.50,4.00,18,0.00
16,22.50,4.00,21,0.00
16,22.50,4.00,24,0.00
16,22.50,7.00,5,0.00
16,22.50,7.00,9,0.00
16,22.50,7.00,12,0.00
16,22.50,7.00,15,0.00
16,22.50,7.00,18,0.00
16,22.50,7.00,21,0.00
16,22.50,7.00,24,0.00
16,22.50,10.00,5,0.00
16,22.50,10.00,9,0.00
16,22.50,10.00,12,0.00
16,22.50,10.00,15,0.00
16,22.50,10.00,18,0.00
16,22.50,10.00,21,0.00
16,22.50,10.00,24,0.00
32,11.25,1.00,5,0.78
32,11.25,1.00,9,0.00
32,11.25,1.00,12,0.00
32,11.25,1.00,15,735.85
32,11.25,1.00,18,0.00
32,11.25,1.00,21,0.00
32,11.25,1.00,24,0.00
32,11.25,2.00,5,0.00
32,11.25,2.00,9,0.00
32,11.25,2.00,12,0.00
32,11.25,2.00,15,0.00
32,11.25,2.00,18,0.00
32,11.25,2.00,21,0.00
32,11.25,2.00,24,0.00
32,11.25,4.00,5,0.00
32,11.25,4.00,9,0.00
32,11.25,4.00,12,0.00
32,11.25,4.00,15,0.00
32,11.25,4.00,18,0.00
32,11.25,4.00,21,0.00
32,11.25,4.00,24,0.00
32,11.25,7.00,5,0.00
32,11.25,7.00,9,0.00
32,11.25,7.00,12,0.00
32,11.25,7.00,15,0.00
32,11.25,7.00,18,0.00
32,11.25,7.00,21,0.00
32,11.25,7.00,24,0.00
32,11.25,10.00,5,0.00
32,11.25,10.00,9,0.00
32,11.25,10.00,12,0.00
32,11.25,10.00,15,0.00
32,11.25,10.00,18,0.00
32,11.25,10.00,21,0.00
32,11.25,10.00,24,0.00
