Distance_m,Sectors,Beamwidth_deg,Throughput_Mbps
1.0,8,45.0,2643.31
1.5,8,45.0,2643.31
2.0,8,45.0,2643.17
2.5,8,45.0,2643.17
3.0,8,45.0,2643.17
3.5,8,45.0,2643.17
4.0,8,45.0,2643.17
4.5,8,45.0,2643.17
5.0,8,45.0,2643.17
6.0,8,45.0,2643.17
7.0,8,45.0,2643.03
8.0,8,45.0,2643.03
9.0,8,45.0,2643.03
10.0,8,45.0,2643.03
1.0,16,22.5,2643.31
1.5,16,22.5,2643.31
2.0,16,22.5,2643.17
2.5,16,22.5,2643.17
3.0,16,22.5,2643.17
3.5,16,22.5,2643.17
4.0,16,22.5,2643.17
4.5,16,22.5,2643.17
5.0,16,22.5,2643.17
6.0,16,22.5,2643.17
7.0,16,22.5,2643.03
8.0,16,22.5,2643.03
9.0,16,22.5,2643.03
10.0,16,22.5,2643.03
1.0,32,11.25,2643.31
1.5,32,11.25,2643.31
2.0,32,11.25,2643.17
2.5,32,11.25,2643.17
3.0,32,11.25,2643.17
3.5,32,11.25,2643.17
4.0,32,11.25,2643.17
4.5,32,11.25,2643.17
5.0,32,11.25,2643.17
6.0,32,11.25,2643.17
7.0,32,11.25,2643.03
8.0,32,11.25,2643.03
9.0,32,11.25,2643.03
10.0,32,11.25,2643.03
